UA,State,UA Number,Census Division,Census Division 2,Census Division 3,Total Number of Census Divisions,Weight Factor - 1st,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
Knoxville,TN,387,6,0,0,1,1,223770433.1,481460864.7,1110084325,595765702.6,821731620.3,993954314.2,716508.3169,108771.2942,200626.2699
Morristown,TN,388,6,0,0,1,1,21257217.02,45736686.24,105453178.5,56595148.25,78060926.75,94421332.95,68065.17098,10332.79944,19058.62227
Murfreesboro,TN,389,6,0,0,1,1,0,0,0,0,0,0,0,0,0
Chattanooga,TN--GA,390,6,5,0,2,0.5,159464199.8,343100607.5,791072825,424556987.8,585585742.9,708315782.3,510601.0827,77513.04385,142971.1117
Clarksville,TN--KY,391,6,0,0,1,1,45140803.29,97124226.31,223935296,120182733.8,165766428.2,200508599.6,144539.9222,21942.23575,40471.97326
Memphis,TN--MS--AR,392,6,7,0,2,0.666666,364938190.2,785195140.2,1810391833,971610298.4,1340129016,1621000074,1168524.567,177390.7245,327193.3062
Bristol--Bristol,TN--VA,393,6,5,0,2,0.5,30507778.69,65640045.94,151343528.5,81223814.76,112030915.2,135510924.4,97685.27888,14829.35223,27352.4154
Kingsport,TN--VA,394,6,5,0,2,0.5,46493828.85,100035374.3,230647409.1,123785024.8,170735019.7,206518533.9,148872.2821,22599.92022,41685.05787
Abilene,TX,395,7,0,0,1,1,29148427.55,62715289.14,144600039.7,77604683.49,107039096.1,129472894.5,649627.7542,44181.99508,46799.74893
Amarillo,TX,396,7,0,0,1,1,49156860.04,105765111.5,243858228.8,130875072.4,180514227,218347317.1,1095553.458,74509.95923,78924.6248
Austin,TX,397,7,0,0,1,1,339299809.1,730032026.6,1683204550,903350763.9,1245979558,1507118294,7561937.008,514296.7823,544768.5249
Beaumont,TX,398,7,0,0,1,1,86741811.66,186632290.5,430310327.8,230941131.5,318533996.4,385293972.1,1933205.083,131479.6927,139269.7771
Brownsville,TX,399,7,0,0,1,1,36484460.32,78499379.57,180992762.1,97136114.48,133978536.2,162058439.5,813125.0984,55301.6537,58578.23994
College Station--Bryan,TX,400,7,0,0,1,1,39010531.13,83934433.01,193524139.2,103861517.6,143254794.3,173278862.9,869423.3569,59130.56859,62634.01549
Conroe--The Woodlands,TX,401,7,0,0,1,1,0,0,0,0,0,0,0,0,0
Corpus Christi,TX,402,7,0,0,1,1,92180276.83,198333605,457289562.9,245420484.4,338505173.1,409450809.6,2054411.55,139723.0959,148001.5965
Dallas--Fort Worth--Arlington,TX,403,7,0,0,1,1,1466268498,3154799779,7273890939,3903788720,5384443274,6512942291,32678562.49,2222509.857,2354192.089
Denton--Lewisville,TX,404,7,0,0,1,1,101384931.2,218138191.5,502952176.4,269926927.6,372306580.6,450336488,2259554.654,153675.1347,162780.2843
Harlingen,TX,405,7,0,0,1,1,35392227.75,76149349.5,175574395.2,94228157.86,129967630.7,157206908,788782.633,53646.09222,56824.58753
Houston,TX,406,7,0,0,1,1,1259953840,2710896472,6250401504,3354497214,4626812888,5596523873,28080450.73,1909786.533,2022940.116
Killeen,TX,407,7,0,0,1,1,38189116.08,82167089.56,189449248.8,101674584.7,140238387.1,169630261.8,851116.5713,57885.50123,61315.17871
Lake Jackson--Angleton,TX,408,7,0,0,1,1,18476269.74,39753245.59,91657408.76,49191163.5,67848710.17,82068788.06,411778.5633,28005.57448,29664.88616
Laredo,TX,409,7,0,0,1,1,36962967.2,79528927.31,183366547.6,98410089.73,135735713.1,164183894.5,823789.528,56026.95488,59346.51473
Longview,TX,410,7,0,0,1,1,24983044.59,53753117.97,123936333.6,66514780.75,91742942.44,110970895.1,556794.3286,37868.27784,40111.94813
Lubbock,TX,411,7,0,0,1,1,54615187.61,117509161.6,270935997.7,145407306.8,200558342.5,242592380.4,1217202.596,82783.46907,87688.3346
McAllen,TX,412,7,0,0,1,1,0,0,0,0,0,0,0,0,0
McKinney,TX,413,7,0,0,1,1,25710984.57,55319342.6,127547513.5,68452846.41,94416090.33,114204294.9,839980.5415,19047.80029,14858.72639
Midland,TX,414,7,0,0,1,1,28493116.94,61305333.34,141349163.2,75859986.54,104632659.1,126562104.1,635022.9197,43188.70204,45747.60394
Odessa,TX,415,7,0,0,1,1,31430430.55,67625210.18,155920640.9,83680281.22,115419086.4,139609205.7,700486.5005,47640.96195,50463.65729
Port Arthur,TX,416,7,0,0,1,1,0,0,0,0,0,0,0,0,0
San Angelo,TX,417,7,0,0,1,1,874177542.3,1880866340,4336635425,2327407560,3210161943,3882964016,6096525.87,881770.7117,997379.4829
San Antonio,TX,418,7,0,0,1,1,50056187.45,107700119.1,248319730.7,133269461.3,183816775.4,222342030.4,4176082.307,119487.8164,59417.61672
San Marcos,TX,419,7,0,0,1,1,446080030.9,959778638.8,2212921780,1187642097,1638098770,1981419844,9941735.902,676149.8779,716211.3089
Sherman,TX,420,7,0,0,1,1,37419096.98,80510350.62,185629400.9,99624504.98,137410739.7,166209981.7,491843.0306,43007.40494,30371.25889
Temple,TX,421,7,0,0,1,1,92306446.04,198605068.6,457915465.3,245756396.9,338968492.7,410011234,2057223.469,139914.338,148204.1696
Texas City,TX,422,7,0,0,1,1,35052270.08,75417902.04,173887927.2,93323055.62,128719235.4,155696867.7,781206.0344,53130.79828,56278.76278
Tyler,TX,423,7,0,0,1,1,31613444.21,68018979.45,156828538.4,84167536.23,116091150.6,140422124.7,704565.3056,47918.36658,50757.49796
Victoria,TX,424,7,0,0,1,1,16153355.13,34755299.78,80133852.5,43006642.82,59318483.98,71750753.66,360008.0244,24484.59546,25935.29147
Waco,TX,425,7,0,0,1,1,57998750.04,124789180.2,287721234.6,154415693,212983488.4,257621651.5,1292611.674,87912.1347,93120.87026
Wichita Falls,TX,426,7,0,0,1,1,23044420.07,49582004.56,114319170.5,61353392.82,84623909.49,102359819,513588.4201,34929.79003,36999.35688
Texarkana--Texarkana,TX--AR,427,7,0,0,1,1,25459282.9,54777784.69,126298865.1,67782716.17,93491788.71,113086273.5,567408.1988,38590.14041,40876.58058
El Paso,TX--NM,428,7,8,0,2,0.5,0,0,0,0,0,0,0,0,0
Logan,UT,429,8,0,0,1,1,20322758.39,43726120.72,100817501.8,54107249,74629400.79,90270610.31,575284.2602,88533.1378,27540.04409
Ogden--Layton,UT,430,8,0,0,1,1,122094358.8,262696262.4,605687869.6,325063642.6,448355910.1,542324622.9,3456172.705,531886.2962,165454.116
Provo--Orem,UT,431,8,0,0,1,1,110489855.8,237728200.1,548120044.6,294167849.9,405741758.7,490779180.9,3127679.507,481332.9687,149728.469
Salt Lake City--West Valley City,UT,432,8,0,0,1,1,20551727.01,44218765.29,101953371.2,54716853.85,75470220.56,91287653.37,143328.019,20730.2408,23448.17828
St. George,UT,433,8,0,0,1,1,88534049.1,190488436,439201277.9,235712776,325115461.5,393254814.1,617437.6424,89303.06226,101011.5678
Blacksburg,VA,434,5,0,0,1,1,17849315.85,38404302.03,88547206.02,47521963.68,65546405.31,79283954.43,850446.6537,26865.63129,4868.850632
Charlottesville,VA,435,5,0,0,1,1,28493276.16,61305676.52,141349955.1,75860410.92,104633244.4,126562812.2,1357587.684,42886.22926,7772.258995
Fredericksburg,VA,436,5,0,0,1,1,80892828.64,174047714.2,401294594.4,215368818.5,297055314.5,359313678.7,3854211.333,121754.6334,22065.5572
Harrisonburg,VA,437,5,0,0,1,1,19031886.18,40948701.41,94413722.12,50670435.3,69889049.87,84536752.53,906791.2773,28645.55937,5191.426487
Lynchburg,VA,438,5,0,0,1,1,41661046.19,89637239.57,206672864.7,110918241.4,152988038.5,185052049.9,1984977.891,62705.50174,11364.10005
Richmond,VA,439,5,0,0,1,1,368889612.2,793696979.9,1829994201,982130570.1,1354639485,1638551721,17576076.25,555228.6928,100623.9363
Roanoke,VA,440,5,0,0,1,1,71271429.72,153346466.4,353564586.1,189752835.5,261723533.8,316576883.6,3395791.157,107273.1285,19441.07822
Staunton--Waynesboro,VA,441,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Virginia Beach,VA,442,5,0,0,1,1,508727144.3,1094569174,2523702737,1354433586,1868152028,2259688835,24238760.82,765703.0669,138768.1466
Williamsburg,VA,443,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Winchester,VA,444,5,0,0,1,1,26058948.7,56068016.56,129273699.8,69379264.96,95693886.98,115749898.7,1241601.97,39222.23762,7108.234844
Burlington,VT,445,1,0,0,1,1,43275824.43,93111570.72,214683486.1,115217422.1,158917840.6,192224650.2,1127549.982,16391.55998,28592.3878
Bellingham,WA,446,9,0,0,1,1,23606465.34,50791305.9,117107423,62849790.97,86687871.34,104856356.5,749371.442,25326.19283,14670.72618
Bremerton,WA,447,9,0,0,1,1,47495558.22,102190708.8,235616910.3,126452048.8,174413610,210968101.8,1507714.706,50955.60257,29517.0971
Kennewick--Pasco,WA,448,9,0,0,1,1,47642242.99,102506313.5,236344587,126842581.9,174952267.2,211619653.5,1512371.116,51112.97331,29608.25739
Marysville,WA,449,9,0,0,1,1,24494368.45,52701691.84,121512105.9,65213732.14,89948423.59,108800271.9,274808.0361,19799.29089,29827.92966
Mount Vernon,WA,450,9,0,0,1,1,19239108.79,41394569.06,95441753.71,51222152.43,70650025.9,85457217.78,610732.6316,20640.67501,11956.54212
Olympia--Lacey,WA,451,9,0,0,1,1,55873560.73,120216689.5,277178671.8,148757620.5,205179385.1,248181924.6,1773668.788,59943.94132,34723.78006
Seattle,WA,452,9,0,0,1,1,221996591.7,477644311.1,1101284674,591043044.4,815217721.4,986075199.2,3435212.052,230721.6104,169734.6303
Spokane,WA,453,9,0,0,1,1,36081193.64,77631716.08,178992224.7,96062457.46,132497655.5,160267188.3,1723834.206,34284.76607,48185.05854
Wenatchee,WA,454,9,0,0,1,1,12248101.35,26352825.52,60760624.88,32609312.68,44977586.37,54404217.77,388807.7795,13140.37371,7611.835935
Yakima,WA,455,9,0,0,1,1,31120297.58,66957951.18,154382191.4,82854598.07,114280232.7,138231665.3,987893.0172,33387.40663,19340.35265
Longview,WA--OR,456,9,0,0,1,1,18876042.78,40613401.85,93640648.62,50255526.44,69316771.67,83844533.35,599207.344,20251.15969,11730.90724
Walla Walla,WA--OR,457,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Appleton,WI,458,3,0,0,1,1,54903968.7,118130499.7,272368592.7,146176157.7,201618808.2,243875103.9,3888020.287,77277.38248,43876.29163
Eau Claire,WI,459,3,0,0,1,1,32128594.54,69127369.42,159384108.1,85539071.48,117982890.8,142710345.3,2275183.932,45221.02405,25675.44054
Fond du Lac,WI,460,3,0,0,1,1,13462841.17,28966433.44,66786703.99,35843427.02,49438356.78,59799899.13,953370.0542,18948.96036,10758.77682
Green Bay,WI,461,3,0,0,1,1,54978378.97,118290599.6,272737728.6,146374267.4,201892058.3,244205623,3893289.645,77382.115,43935.75631
Janesville,WI,462,3,0,0,1,1,20211237.63,43486175.16,100264270.2,53810337.02,74219874.08,89775252.91,1431257.226,28447.33409,16151.73142
Madison,WI,463,3,0,0,1,1,68275963.12,146901468.7,338704622.5,181777714.6,250723556.8,303271475.5,1959753.902,58287.04669,56676.40692
Milwaukee,WI,464,3,0,0,1,1,376359979.2,809770103.3,1867053336,1002019653,1382072230,1671733960,26651902.76,529726.9898,300766.6039
Oshkosh,WI,465,3,0,0,1,1,19296342.64,41517701.77,95725642.71,51374523.42,70860189.15,85711428.12,1366469.009,27159.61863,15420.59668
Racine,WI,466,3,0,0,1,1,21032967.35,45254195.67,104340721.7,55998107.71,77237436.77,93425251.75,1489447.953,29603.91937,16808.41351
Sheboygan,WI,467,3,0,0,1,1,105560421,227122110.9,523666029.5,281043740.7,387639851.5,468883383.8,8617338.05,128177.0176,82284.49502
Wausau,WI,468,3,0,0,1,1,25030151.8,53854473.71,124170026,66640199.32,91915930.58,111180139,1772508.259,35229.95987,20002.74782
West Bend,WI,469,3,0,0,1,1,0,0,0,0,0,0,0,0,0
Beloit,WI--IL,470,3,0,0,1,1,15751976.25,33891699.81,78142686.34,41938013.22,57844537.56,69967890.05,1115474.977,22170.91993,12588.13015
Kenosha,WI--IL,471,3,0,0,1,1,27332458.25,58808079.41,135591349.2,72769852.96,100370479.4,121406635.2,1935545.913,38470.45816,21842.62701
La Crosse,WI--MN,472,3,4,0,2,0.5,27339054.79,58822272.4,135624073.4,72787415.54,100394703.2,121435935.9,1936013.046,38479.74278,21847.8986
Beckley,WV,473,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Charleston,WV,474,5,0,0,1,1,94423035.44,203159094.6,468415501.4,251391602.7,346741056.3,419412811,2606462.522,116594.6498,66746.41168
Morgantown,WV,475,5,0,0,1,1,19028003.47,40940348.27,94394463.65,50660098.62,69874792.63,84519507.19,525250.8318,23495.99746,13450.64737
Huntington,WV--KY--OH,476,5,6,3,3,0.333333,69669026.23,149898763.8,345615365,185486603.8,255839177.7,309459254.3,1923150.479,86028.11462,49248.12558
Parkersburg,WV--OH,477,5,3,0,2,0.5,22056711.6,47456868.29,109419333.7,58723721.94,80996839.82,97972569.61,608855.5812,27235.88108,15591.60162
Wheeling,WV--OH,478,5,3,0,2,0.5,35197995.03,75731443.78,174610850.1,93711035.02,129254370.2,156344158.7,971608.8288,43462.88895,24881.00341
Weirton--Steubenville,WV--OH--PA,479,5,3,2,3,0.333333333,24846299.32,53458900.68,123257970.9,66150711.83,91240787.08,110363495.5,685859.6283,30680.49608,17563.52479
Casper,WY,480,8,0,0,1,1,13992095.74,30105168.58,69412237.76,37252512.36,51381889.24,62150767.01,1186474.354,10104.54249,21071.346
Cheyenne,WY,481,8,0,0,1,1,23080788.11,49660253.19,114499584.7,61450218.77,84757460.23,102521360,1957159.505,16668.03948,34758.42942
